"personId","last_name","first_name","name_suffix","wealth_millions","conglomorate","industry","birth_date","gender","cityID","citizenshipID"
"32","Mars","John","","38300","0","Food & Beverage","1935-10-15","M","275","83"
"33","Li","Ka-shing","","38000","0","Diversified","1928-06-13","M","658","35"
"34","Ma","Huateng","","35300","0","Technology","1971-10-29","M","589","21"
"35","Adelson","Miriam","","35000","1","Gambling & Casinos","1945-10-10","F","339","83"
"36","Griffin","Ken","","35000","0","Finance & Investments","1968-10-15","M","409","83"
"37","Mateschitz","Mark","","34700","0","Food & Beverage","1992-05-07","M","552","6"
"38","Zeng","Robin","","33400","0","Automotive","1969-01-01","M","460","35"
"39","Yanai","Tadashi","","32600","1","Fashion & Retail","1949-02-07","M","645","43"
"40","Blavatnik","Len","","32100","0","Diversified","1957-06-01","M","365","83"
"41","Wertheimer","Alain","","31600","0","Fashion & Retail","1948-08-28","M","451","30"
"42","Wertheimer","Gerard","","31600","0","Fashion & Retail","1951-01-09","M","451","30"
"43","Aponte","Gianluigi","","31200","0","Logistics","1940-06-27","M","203","74"
"44","Aponte-Diamant","Rafaela","","31200","0","Logistics","1945-03-26","F","203","74"
"45","Huang","Colin Zheng","","30200","0","Technology","1980-02-02","M","584","21"
"46","Wuerth","Reinhold","","29700","1","Manufacturing","1935-04-20","M","319","32"
"47","Lee","Shau Kee","","29500","0","Real Estate","1928-01-29","M","253","35"
"48","Yass","Jeff","","28500","0","Finance & Investments","1958-07-17","M","234","83"
"49","Simons","Jim","","28100","0","Finance & Investments","1938-04-25","M","166","83"
"50","Schwarzman","Stephen","","27800","0","Finance & Investments","1947-02-14","M","451","83"
"51","Klatten","Susanne","","27400","0","Automotive","1962-04-28","F","32","32"
"52","Rinehart","Gina","","27000","0","Metals & Mining","1954-02-09","F","495","5"
"53","Ding","William","","26700","0","Technology","1971-10-01","M","230","21"
"54","Larrea Mota Velasco","German","","26600","1","Metals & Mining","1953-10-26","M","408","51"
"55","Nadar","Shiv","","25600","0","Technology","1945-07-18","M","149","38"
"56","Low Tuck","Kwong","","25500","0","Energy","1948-04-17","M","278","39"
"57","Peterffy","Thomas","","25300","0","Finance & Investments","1944-09-30","M","483","83"
"58","Melnichenko","Andrey","","25200","1","Metals & Mining","1972-03-08","M","526","66"
"59","Quandt","Stefan","","24600","0","Automotive","1966-05-09","M","192","32"
"60","Scott","MacKenzie","","24400","0","Technology","1970-04-07","F","579","83"
"61","Hartono","R. Budi","","24200","0","Finance & Investments","1941-01-01","M","318","39"
"62","Potanin","Vladimir","","23700","0","Metals & Mining","1961-01-03","M","427","66"
"63","Ma","Jack","","23500","0","Technology","1964-09-10","M","230","21"
"64","He","Xiangjian","","23400","1","Manufacturing","1942-08-11","M","191","21"
"65","Fontbona","Iris","","23100","1","Metals & Mining","1943-01-01","F","567","20"
"66","Hartono","Michael","","23100","0","Manufacturing","1939-10-02","M","318","39"
"67","Ratcliffe","James","","22900","0","Manufacturing","1953-01-01","M","365","82"
"68","Poonawalla","Cyrus","","22600","0","Healthcare","1941-05-11","M","519","38"
"69","Son","Masayoshi","","22400","0","Telecom","1957-08-11","M","645","43"
"70","Lisin","Vladimir","","22100","0","Metals & Mining","1956-05-07","M","427","66"
"71","Besnier","Emmanuel","","22000","0","Food & Beverage","1970-09-18","M","341","30"
"72","Johnson","Abigail","","21600","0","Finance & Investments","1961-12-19","F","414","83"
"73","Mikhelson","Leonid","","21600","1","Energy","1955-08-11","M","427","66"
"74","Walton","Lukas","","21200","0","Fashion & Retail","1986-09-19","M","117","83"
"75","Wang","Wei","","21200","0","Service","1970-10-01","M","589","21"
"76","Huang","Jensen","","21100","0","Technology","1963-02-17","M","367","83"
"77","Lauder","Leonard","","21000","0","Fashion & Retail","1933-03-19","M","451","83"
"78","Takizaki","Takemitsu","","21000","0","Manufacturing","1945-06-10","M","477","43"
"79","Mordashov","Alexey","","20900","1","Metals & Mining","1965-09-26","M","427","66"
"80","Alekperov","Vagit","","20500","0","Energy","1950-09-01","M","427","66"
"81","Frist","Thomas","","20200","1","Healthcare","1938-08-12","M","443","83"
"82","Forrest","Andrew","","19600","0","Metals & Mining","1961-11-18","M","495","5"
"83","Dalio","Ray","","19100","0","Finance & Investments","1949-08-08","M","221","83"
"84","Li","Eric","","19000","0","Automotive","1963-06-01","M","230","21"
"85","Wang","Wenyin","","19000","0","Metals & Mining","1968-03-01","M","589","21"
"86","Ofer","Eyal","","18900","0","Diversified","1950-06-02","M","423","41"
"87","Qin","Yinglin","","18900","0","Food & Beverage","1965-04-17","M","441","21"
"88","Wang","Chuanfu","","18700","0","Automotive","1966-02-15","M","589","21"
"89","Hamm","Harold","","18500","1","Energy","1945-12-11","M","472","83"
"90","Tepper","David","","18500","0","Finance & Investments","1957-09-11","M","483","83"
"91","Timchenko","Gennady","","18500","0","Energy","1952-11-09","M","427","66"
"92","Gilbert","Daniel","","18000","0","Finance & Investments","1962-01-17","M","737","83"
"93","Mittal","Lakshmi","","17700","0","Metals & Mining","1950-06-15","M","365","38"
"94","Cohen","Steve","","17500","0","Finance & Investments","1956-06-11","M","221","83"
"95","Icahn","Carl","","17500","0","Finance & Investments","1936-02-16","M","266","83"
"96","Jindal","Savitri","","17500","1","Metals & Mining","1950-03-20","F","249","38"
"97","Bren","Donald","","17400","0","Real Estate","1932-05-11","M","455","83"
"98","Menard","John","Jr.","17400","0","Fashion & Retail","1940-01-22","M","168","83"
"99","Murdoch","Rupert","","17100","1","Media & Entertainment","1931-03-11","M","451","83"
"100","Safra","Vicky","","16700","1","Finance & Investments","1953-01-01","F","133","14"
"101","Albrecht","Theo","","16500","1","Fashion & Retail","1951-01-01","M","430","32"
"102","Kellnerova","Renata","","16500","1","Finance & Investments","1967-07-04","F","514","24"
"103","Li","Xiting","","16300","0","Healthcare","1951-01-01","M","589","67"
"104","Persson","Stefan","","16200","0","Fashion & Retail","1947-10-04","M","612","73"
"105","Schmidt","Eric","","16200","0","Technology","1955-04-27","M","23","83"
"106","Platt","Michael","","16000","0","Finance & Investments","1968-03-18","M","203","82"
"107","Pang","Kang","","15900","0","Food & Beverage","1956-01-19","M","191","21"
"108","Albrecht","Karl","Jr.","15800","1","Fashion & Retail","1958-01-01","M","658","32"
"109","Lemann","Jorge Paulo","","15800","1","Food & Beverage","1939-08-26","M","735","14"
"110","Woo","Peter","","15800","0","Real Estate","1946-09-05","M","253","35"
"111","Shanghvi","Dilip","","15600","0","Healthcare","1955-10-01","M","431","38"
"112","Pera","Robert","","15500","0","Technology","1978-03-10","M","558","83"
"113","Damani","Radhakishan","","15300","0","Fashion & Retail","1955-01-01","M","431","38"
"114","Huang","Shilin","","15200","0","Automotive","1967-01-01","M","460","21"
"115","Chearavanont","Dhanin","","14900","0","Diversified","1939-04-19","M","35","77"
"116","Green","David","","14900","1","Fashion & Retail","1941-11-13","M","472","83"
"117","Sirivadhanabhakdi","Charoen","","14800","0","Food & Beverage","1944-05-02","M","35","77"
"118","de Carvalho-Heineken","Charlene","","14700","1","Food & Beverage","1954-06-30","F","365","55"
"119","Xu","Hang","","14600","0","Healthcare","1962-05-22","M","589","35"
"120","Wei","Jianjun","","14500","1","Automotive","1964-03-01","M","36","21"
"121","Usmanov","Alisher","","14400","0","Metals & Mining","1953-09-09","M","633","66"
"122","Goh","Cheng Liang","","14300","0","Manufacturing","1927-06-27","M","593","67"
"123","Birla","Kumar","","14200","0","Diversified","1967-06-14","M","431","38"
"124","Dangote","Aliko","","14200","0","Manufacturing","1957-04-10","M","327","57"
"125","Kwong","Siu-hing","","14100","0","Real Estate","1929-12-02","F","253","35"
"126","Ofer","Idan","","14000","0","Diversified","1955-10-02","M","365","41"
"127","Chen","Bang","","13900","0","Healthcare","1965-09-01","M","105","21"
"128","Lui","Che Woo","","13900","0","Gambling & Casinos","1929-04-01","M","253","35"
"129","Fredriksen","John","","13700","0","Logistics","1945-02-01","M","365","23"
"130","Hendricks","Diane","","13700","0","Construction & Engineering","1947-03-02","F","8","83"
"131","Koum","Jan","","13700","0","Technology","1976-02-24","M","23","83"
"132","Jones","Jerry","","13300","0","Sports","1942-10-13","M","140","83"
"133","Kaiser","George","","13300","0","Energy","1942-07-29","M","654","83"
"134","Lau","Joseph","","13300","0","Real Estate","1951-07-21","M","253","35"
"135","Lu","Xiangyang","","13200","0","Automotive","1962-12-28","M","225","21"
"136","Triguboff","Harry","","13100","0","Real Estate","1933-03-03","M","623","5"
"137","Kotak","Uday","","12900","0","Finance & Investments","1959-03-15","M","431","38"
"138","Kroenke","Stanley","","12900","0","Sports","1947-07-29","M","174","83"
"139","Fridman","Mikhail","","12600","0","Energy","1964-04-21","M","365","66"
"140","Ratanavadi","Sarath","","12300","0","Energy","1965-07-12","M","35","77"
"141","Dang","Yanbao","","12200","0","Metals & Mining","1973-02-01","M","715","21"
"142","Jiang","Rensheng","","12200","1","Healthcare","1953-10-08","M","119","21"
"143","Khan","Shahid","","12100","0","Automotive","1950-07-18","M","442","83"
"144","Powell Jobs","Laurene","","12000","1","Technology","1963-11-06","F","485","83"
"145","Kuok","Robert","","11800","0","Diversified","1923-10-06","M","253","50"
"146","Ross","Stephen","","11600","0","Real Estate","1940-05-10","M","451","83"
"147","Durov","Pavel","","11500","0","Technology","1984-10-10","M","158","81"
"148","Struengmann","Andreas","","11500","1","Healthcare","1950-02-16","M","636","32"
"149","Struengmann","Thomas","","11500","1","Healthcare","1950-02-16","M","636","32"
"150","Liu","Hanyuan","","11400","0","Food & Beverage","1964-01-01","M","112","21"
"151","Rubin","Michael","","11400","0","Fashion & Retail","1972-07-21","M","86","83"
"152","Englander","Israel","","11300","0","Finance & Investments","1948-09-30","M","451","83"
"153","Kantor","Viatcheslav","","11300","0","Manufacturing","1953-09-08","M","242","66"
"154","Pratt","Anthony","","11300","0","Manufacturing","1960-04-11","M","402","5"
"155","Prokhorov","Mikhail","","11300","0","Finance & Investments","1965-05-03","M","194","66"
"156","Armani","Giorgio","","11100","0","Fashion & Retail","1934-07-11","M","412","42"
"157","Rupert","Johann","","11100","1","Fashion & Retail","1950-06-01","M","96","69"
"158","Gong","Hongjia","","11000","1","Finance & Investments","1965-01-01","M","253","35"
"159","Zhang","Zhidong","","11000","0","Technology","1972-01-01","M","589","21"
"160","Anschutz","Philip","","10900","0","Finance & Investments","1939-12-28","M","151","83"
"161","Love","Judy","","10900","1","Fashion & Retail","1937-06-17","F","472","83"
"162","Salinas Pliego","Ricardo","","10900","1","Fashion & Retail","1955-10-19","M","408","51"
"163","Newhouse","Donald","","10700","0","Media & Entertainment","1929-08-05","M","451","83"
"164","Kraft","Robert","","10600","0","Sports","1941-06-05","M","79","83"
"165","Telles","Marcel Herrmann","","10600","0","Food & Beverage","1950-01-01","M","571","14"
"166","Kerimov","Suleiman","","10500","1","Finance & Investments","1966-03-12","M","427","66"
"167","Xu","Sky","","10500","0","Fashion & Retail","1984-01-01","M","225","21"
"168","Zhao","Changpeng","","10500","0","Finance & Investments","1977-09-10","M","158","18"
"169","Beal","Andrew","","10300","0","Finance & Investments","1952-11-29","M","140","83"
"170","Cannon-Brookes","Mike","","10200","0","Technology","1979-11-17","M","623","5"
"171","Cook","Carl","","10200","0","Healthcare","1962-08-19","M","64","83"
"172","Duffield","David","","10200","0","Technology","1940-09-21","M","265","83"
"173","Hildebrand","Jeffery","","10200","0","Energy","1959-03-05","M","255","83"
"174","Rashnikov","Viktor","","10200","0","Manufacturing","1948-10-13","M","383","66"
"175","Saverin","Eduardo","","10200","0","Technology","1982-03-19","M","593","14"
"176","Schaeffler","Georg","","10200","0","Automotive","1964-10-19","M","244","32"
"177","Walton","Christy","","10200","0","Fashion & Retail","1949-02-08","F","275","83"
"178","Farquhar","Scott","","10100","0","Technology","1979-12-17","M","623","5"
"179","Quek","Leng Chan","","10100","0","Diversified","1941-08-12","M","317","50"
"180","Wu","Yajun","","10100","0","Real Estate","1964-01-01","F","44","21"
"181","Stephens","Autry","","10000","0","Energy","1938-03-08","M","411","83"
"182","Liu","Yongxing","","9900","0","Service","1948-06-01","M","584","21"
"183","Adani","Vinod","","9800","0","Diversified","1949-01-10","M","158","23"
"184","Puech","Nicolas","","9800","0","Fashion & Retail","1943-01-29","M","397","30"
"185","Saade","Jacques","Jr.","9800","0","Logistics","1971-08-10","M","396","30"
"186","Saade","Rodolphe","","9800","0","Logistics","1970-03-03","M","396","30"
"187","Saade Zeenny","Tanya","","9800","0","Logistics","1968-02-01","F","396","30"
"188","Schorling","Melker","","9800","1","Finance & Investments","1947-05-15","M","612","73"
"189","Guriev","Andrei","","9700","1","Manufacturing","1960-03-24","M","427","66"
"190","Kim","Michael","","9700","0","Finance & Investments","1963-10-01","M","582","83"
"191","Lei","Jun","","9700","0","Technology","1969-12-16","M","44","21"
"192","Loh","Friedhelm","","9700","0","Manufacturing","1946-08-15","M","227","32"
"193","Sun","Piaoyang","","9700","0","Healthcare","1958-09-01","M","348","21"
"194","Cohen","Rick","","9600","1","Technology","1952-07-25","M","299","83"
"195","Jin","Baofang","","9600","0","Energy","1952-09-01","M","707","21"
"196","Luo","Liguo","","9600","1","Manufacturing","1956-03-01","M","459","21"
"197","Mars","Marijke","","9600","0","Food & Beverage","1964-07-28","F","369","83"
"198","Mars","Pamela","","9600","0","Food & Beverage","1960-08-01","F","11","83"
"199","Mars","Valerie","","9600","0","Food & Beverage","1959-01-26","F","451","83"
"200","Mars","Victoria","","9600","0","Food & Beverage","1956-12-15","F","498","83"
"201","Bollore","Vincent","","9500","1","Finance & Investments","1952-04-01","M","492","30"
"202","Pattison","Jim","","9500","0","Diversified","1928-10-01","M","664","18"
"203","Bertarelli","Ernesto","","9400","0","Healthcare","1965-09-22","M","224","74"
"204","Wang","Xing","","9400","0","Technology","1979-02-18","M","44","21"
"205","Chesky","Brian","","9300","0","Technology","1981-08-29","M","557","83"
"206","Dyson","James","","9300","0","Manufacturing","1947-05-02","M","208","82"
"207","Abramovich","Roman","","9200","1","Diversified","1966-10-24","M","427","66"
"208","Ax:son Johnson","Antonia","","9200","1","Diversified","1943-09-06","F","612","73"
"209","Kretinsky","Daniel","","9200","0","Energy","1975-07-09","M","514","24"
"210","Malone","John","","9200","0","Media & Entertainment","1941-03-07","M","175","83"
"211","Premji","Azim","","9200","0","Technology","1945-07-24","M","34","38"
"212","Schwab","Charles","","9200","0","Finance & Investments","1937-07-29","M","696","83"
"213","Smidt","Eric","","9200","0","Fashion & Retail","1960-01-01","M","54","83"
"214","Cheriton","David","","9000","0","Technology","1951-03-29","M","485","18"
"215","Glasenberg","Ivan","","9000","0","Metals & Mining","1957-01-07","M","543","74"
"216","Otto","Alexander","","9000","0","Real Estate","1967-07-07","M","228","32"
"217","von Mandl","Anthony","","9000","0","Food & Beverage","1950-03-10","M","664","18"
"218","Wang","Liping","","9000","1","Manufacturing","1966-02-24","M","107","21"
"219","Rausing","Finn","","8900","0","Food & Beverage","1955-01-01","M","365","73"
"220","Rausing","Jorn","","8900","0","Food & Beverage","1960-01-01","M","621","73"
"221","Rausing","Kirsten","","8900","0","Food & Beverage","1952-06-06","F","454","73"
"222","Bakalchuk","Tatyana","","8800","0","Fashion & Retail","1975-10-16","F","428","66"
"223","Doerr","John","","8800","0","Technology","1951-06-29","M","696","83"
"224","Liu","Richard","","8800","0","Technology","1974-03-10","M","44","21"
"225","Moskovitz","Dustin","","8800","0","Technology","1984-05-22","M","557","83"
"226","Omidyar","Pierre","","8800","0","Technology","1967-06-21","M","254","83"
"227","Pei","Zhenhua","","8800","0","Energy","1959-01-01","M","460","21"
"228","Perrodo","Carrie","","8800","1","Energy","1951-01-01","F","365","30"
"229","Chen","Jianhua","","8700","0","Manufacturing","1971-01-01","M","700","21"
"230","Otto","Michael","","8700","0","Fashion & Retail","1943-04-12","M","228","32"
"231","Black","Leon","","8600","0","Finance & Investments","1951-07-31","M","451","83"
"232","Hart","Graeme","","8600","0","Finance & Investments","1955-06-06","M","25","56"
"233","Jaipuria","Ravi","","8600","0","Food & Beverage","1954-11-28","M","149","38"
"234","Plattner","Hasso","","8600","1","Technology","1944-01-21","M","236","32"
"235","Sicupira","Carlos Alberto","","8600","1","Food & Beverage","1948-01-01","M","601","14"
"236","Villar","Manuel","","8600","0","Real Estate","1949-12-13","M","391","61"
"237","von Bechtolsheim","Andreas","","8600","1","Technology","1955-09-30","M","485","32"
"238","Coleman","Chase","III.","8500","0","Finance & Investments","1975-06-21","M","451","83"
"239","Kroenke","Ann Walton","","8500","0","Fashion & Retail","1948-12-18","F","174","83"
"240","Li","Zhenguo","","8500","1","Manufacturing","1968-01-01","M","703","21"
"241","Kennedy","Jim","","8400","0","Media & Entertainment","1947-11-29","M","24","83"
"242","Oppenheimer","Nicky","","8400","1","Metals & Mining","1945-06-08","M","287","69"
"243","Parry-Okeden","Blair","","8400","0","Media & Entertainment","1950-05-21","F","450","83"
"244","Zheng","Shuliang","","8400","1","Metals & Mining","1946-01-01","F","59","21"
"245","Morris","John","","8300","0","Fashion & Retail","1948-03-19","M","599","83"
"246","Pessina","Stefano","","8300","0","Fashion & Retail","1941-06-04","M","423","52"
"247","von Finck","Francine","","8300","1","Finance & Investments","1956-01-01","F","643","32"
"248","Choi","Francis","","8200","0","Real Estate","1947-09-18","M","253","35"
"249","Khan","German","","8200","0","Energy","1961-10-24","M","427","66"
"250","Rabiu","Abdulsamad","","8200","0","Diversified","1960-08-04","M","327","57"
"251","Roberts","George","","8200","0","Finance & Investments","1943-09-14","M","23","83"
"252","Singh","Kushal Pal","","8200","0","Real Estate","1931-08-15","M","149","38"
"253","Wang","Jianlin","","8200","0","Real Estate","1954-10-01","M","44","21"
"254","Yang","Huiyan","","8200","1","Real Estate","1981-09-27","F","191","21"
"255","Dassault","Laurent","","8100","0","Diversified","1953-07-07","M","492","30"
"256","Dassault","Thierry","","8100","0","Diversified","1957-03-26","M","492","30"
"257","Fertitta","Tilman","","8100","0","Food & Beverage","1957-06-25","M","255","83"
"258","Habert-Dassault","Marie-Helene","","8100","0","Diversified","1965-04-04","F","492","30"
"259","Komarek","Karel","","8100","0","Gambling & Casinos","1969-03-15","M","667","24"
"260","Blecharczyk","Nathan","","8000","0","Technology","1983-06-11","M","557","83"
"261","Fedun","Leonid","","8000","0","Energy","1956-04-05","M","427","66"
"262","Marcus","Bernard","","8000","0","Fashion & Retail","1929-05-12","M","24","83"
"263","Ryan","Patrick","","8000","0","Finance & Investments","1937-05-15","M","694","83"
"264","Smith","Robert F.","","8000","0","Finance & Investments","1962-12-01","M","28","83"
"265","Tykac","Pavel","","8000","0","Metals & Mining","1964-05-15","M","514","24"
"266","Wittouck","Eric","","8000","0","Finance & Investments","1946-10-01","M","658","11"
"267","Bravo","Orlando","","7900","0","Finance & Investments","1970-09-23","M","410","83"
"268","Ding","Shizhong","","7900","0","Fashion & Retail","1970-12-01","M","522","21"
"269","Laurie","Nancy Walton","","7900","0","Fashion & Retail","1951-05-15","F","239","83"
"270","Lee","Jay Y.","","7900","0","Technology","1968-06-23","M","582","70"
"271","Musallam","Ramzi","","7900","0","Finance & Investments","1968-09-17","M","451","83"
"272","Shaw","David","","7900","0","Finance & Investments","1951-03-29","M","451","83"
"273","Skoch","Andrei","","7900","1","Metals & Mining","1966-01-30","M","427","66"
"274","Stumpf","Georg","","7900","0","Diversified","1972-09-14","M","670","6"
"275","Commisso","Rocco","","7800","0","Telecom","1949-11-25","M","545","83"
"276","Li","Shuirong","","7800","1","Manufacturing","1956-07-01","M","230","21"
"277","Lin","Shu-hong","","7800","0","Manufacturing","1928-08-01","M","627","75"
"278","Qi","Shi","","7800","1","Technology","1970-01-03","M","584","21"
"279","Yao","Liangsong","","7800","0","Manufacturing","1964-08-01","M","225","21"
"280","Zhang","Congyuan","","7800","0","Fashion & Retail","1948-01-01","M","631","75"
"281","Besnier","Jean-Michel","","7700","0","Food & Beverage","1967-06-05","M","341","30"
"282","Besnier Beauvalot","Marie","","7700","0","Food & Beverage","1980-07-30","F","341","30"
"283","Geffen","David","","7700","0","Media & Entertainment","1943-02-21","M","54","83"
"284","Li","Robin","","7700","0","Technology","1968-11-17","M","44","21"
"285","Liu","Yonghao","","7700","1","Service","1951-09-01","M","112","21"
"286","Samueli","Henry","","7700","0","Technology","1954-09-20","M","455","83"
"287","Schmieding","Reinhold","","7700","0","Healthcare","1955-01-03","M","442","83"
"288","Tollefsen","Ivar","","7700","0","Real Estate","1961-06-23","M","478","58"
"289","Cao","Renxian","","7600","0","Energy","1968-07-24","M","235","21"
"290","Chudgar","Hasmukh","","7600","1","Healthcare","1933-09-19","M","9","38"
"291","Currie","Andrew","","7600","0","Manufacturing","1955-12-04","M","365","82"
"292","Gebbia","Joe","","7600","0","Technology","1981-08-21","M","28","83"
"293","Ng","Philip","","7600","0","Real Estate","1959-01-01","M","593","67"
"294","Reece","John","","7600","0","Manufacturing","1957-03-07","M","365","82"
"295","Stern","Leonard","","7600","0","Real Estate","1938-03-28","M","451","83"
"296","Tsai","Joseph","","7600","0","Technology","1964-01-19","M","253","18"
"297","Zhong","Huijuan","","7600","0","Healthcare","1961-01-01","F","584","21"
"298","Blank","Arthur","","7500","0","Sports","1942-09-27","M","24","83"
"299","Butt","Charles","","7500","0","Fashion & Retail","1938-02-03","M","554","83"
"300","Ding","Shijia","","7500","0","Fashion & Retail","1964-01-01","M","522","21"
"301","Jones","Paul Tudor","II.","7500","0","Finance & Investments","1954-09-28","M","483","83"
"302","Kravis","Henry","","7500","0","Finance & Investments","1944-01-06","M","451","83"
"303","Zhang","Yong","","7500","0","Food & Beverage","1970-07-01","M","593","67"
"304","Goodnight","James","","7400","0","Technology","1943-01-06","M","99","83"
"305","Lohia","Sri Prakash","","7400","0","Manufacturing","1952-08-11","M","365","39"
"306","Ma","Jianrong","","7400","0","Fashion & Retail","1964-01-01","M","459","21"
"307","Ng","Robert","","7400","0","Real Estate","1952-01-01","M","593","67"
"308","Rales","Steven","","7400","0","Manufacturing","1951-03-31","M","563","83"
"309","Sawiris","Nassef","","7400","0","Construction & Engineering","1961-01-19","M","93","26"
"310","Stine","Harry","","7400","0","Food & Beverage","1941-11-30","M","7","83"
"311","Bangur","Benu Gopal","","7300","0","Manufacturing","1931-06-01","M","312","38"
"312","Makhmudov","Iskander","","7300","0","Metals & Mining","1963-12-05","M","427","66"
"313","Povlsen","Anders Holch","","7300","0","Fashion & Retail","1972-11-04","M","2","25"
"314","Razon","Enrique","Jr.","7300","0","Logistics","1960-03-03","M","391","61"
"315","Wang","Laichun","","7300","0","Technology","1967-06-03","F","589","35"
"316","Dantchik","Arthur","","7200","0","Finance & Investments","1957-11-25","M","205","83"
"317","Gou","Terry","","7200","0","Technology","1950-10-18","M","627","75"
"318","Greene","Jeff","","7200","0","Real Estate","1954-12-10","M","483","83"
"319","Hankey","Don","","7200","0","Finance & Investments","1943-06-13","M","386","83"
"320","Kinder","Richard","","7200","0","Energy","1944-10-19","M","255","83"
"321","Pousaz","Guillaume","","7200","0","Finance & Investments","1981-08-15","M","158","74"
"322","Takahara","Takahisa","","7200","0","Fashion & Retail","1961-07-12","M","645","43"
"323","Zong","Qinghou","","7200","0","Food & Beverage","1945-10-01","M","230","21"
"324","Faulkner","Judy","","7100","0","Technology","1943-08-01","F","381","83"
"325","Graf","Johann","","7100","0","Gambling & Casinos","1947-01-03","M","670","6"
"326","Gustavson","Tamara","","7100","0","Service","1961-11-16","F","738","83"
"327","Liang","Wengen","","7100","0","Manufacturing","1956-12-14","M","105","21"
"328","Paulsen","Frederik","","7100","0","Healthcare","1950-10-30","M","340","73"
"329","Wee","Cho Yaw","","7100","0","Finance & Investments","1929-01-10","M","593","67"
"330","Zhang","Hejun","","7100","0","Manufacturing","1952-01-01","M","459","21"
"331","Benioff","Marc","","7000","0","Technology","1964-09-25","M","557","83"
"332","Bukhman","Dmitri","","7000","0","Media & Entertainment","1985-05-27","M","365","41"
"333","Bukhman","Igor","","7000","0","Media & Entertainment","1982-03-29","M","365","41"
"334","Dangermond","Jack","","7000","0","Technology","1945-07-23","M","529","83"
"335","Dani","Ashwin","","7000","1","Manufacturing","1942-10-24","M","431","38"
"336","Lauren","Ralph","","7000","0","Fashion & Retail","1939-10-14","M","451","83"
"337","Law","Kar Po","","7000","0","Real Estate","1948-08-02","M","253","35"
"338","Mistry","Rohiqa Cyrus","","7000","0","Diversified","1967-06-06","F","431","38"
"339","Mistry","Shapoor","","7000","0","Diversified","1964-09-06","M","431","40"
"340","Reyes","J. Christopher","","7000","0","Food & Beverage","1953-12-29","M","251","83"
"341","Reyes","Jude","","7000","0","Food & Beverage","1955-09-16","M","483","83"
"342","Vultaggio","Don","","7000","1","Food & Beverage","1952-02-26","M","506","83"
"343","Bailleres Gual","Alejandro","","6900","1","Diversified","1961-01-01","M","658","51"
"344","Broad","Edythe","","6900","1","Diversified","1936-01-01","F","369","83"
"345","Keinath","Pauline MacMillan","","6900","0","Food & Beverage","1934-01-01","F","603","83"
"346","Laffont","Philippe","","6900","0","Finance & Investments","1967-09-16","M","451","83"
"347","Liu","Jincheng","","6900","1","Technology","1964-09-22","M","258","21"
"348","Olenicoff","Igor","","6900","0","Real Estate","1942-09-20","M","352","83"
"349","Ortega Mera","Sandra","","6900","0","Fashion & Retail","1968-07-09","F","325","71"
