"personId","last_name","first_name","wealth_millions","conglomorate","industry","birth_date","gender","cityID","citizenshipID","name_suffix"
"39","Yanai","Tadashi","32600","1","Fashion & Retail","2/7/1949","M","645","43",""
"40","Blavatnik","Len","32100","0","Diversified","6/1/1957","M","365","83",""
"41","Wertheimer","Alain","31600","0","Fashion & Retail","8/28/1948","M","451","30",""
"42","Wertheimer","Gerard","31600","0","Fashion & Retail","1/9/1951","M","451","30",""
"43","Aponte","Gianluigi","31200","0","Logistics","6/27/1940","M","203","74",""
"44","Aponte-Diamant","Rafaela","31200","0","Logistics","3/26/1945","F","203","74",""
"45","Huang","Colin Zheng","30200","0","Technology","2/2/1980","M","584","21",""
"46","Wuerth","Reinhold","29700","1","Manufacturing","4/20/1935","M","319","32",""
"47","Lee","Shau Kee","29500","0","Real Estate","1/29/1928","M","253","35",""
"48","Yass","Jeff","28500","0","Finance & Investments","7/17/1958","M","234","83",""
"49","Simons","Jim","28100","0","Finance & Investments","4/25/1938","M","166","83",""
"50","Schwarzman","Stephen","27800","0","Finance & Investments","2/14/1947","M","451","83",""
"51","Klatten","Susanne","27400","0","Automotive","4/28/1962","F","32","32",""
"52","Rinehart","Gina","27000","0","Metals & Mining","2/9/1954","F","495","5",""
"53","Ding","William","26700","0","Technology","10/1/1971","M","230","21",""
"54","Larrea Mota Velasco","German","26600","1","Metals & Mining","10/26/1953","M","408","51",""
"55","Nadar","Shiv","25600","0","Technology","7/18/1945","M","149","38",""
"56","Low Tuck","Kwong","25500","0","Energy","4/17/1948","M","278","39",""
"57","Peterffy","Thomas","25300","0","Finance & Investments","9/30/1944","M","483","83",""
"58","Melnichenko","Andrey","25200","1","Metals & Mining","3/8/1972","M","526","66",""
"59","Quandt","Stefan","24600","0","Automotive","5/9/1966","M","192","32",""
"60","Scott","MacKenzie","24400","0","Technology","4/7/1970","F","579","83",""
"61","Hartono","R. Budi","24200","0","Finance & Investments","1/1/1941","M","318","39",""
"62","Potanin","Vladimir","23700","0","Metals & Mining","1/3/1961","M","427","66",""
"63","Ma","Jack","23500","0","Technology","9/10/1964","M","230","21",""
"64","He","Xiangjian","23400","1","Manufacturing","8/11/1942","M","191","21",""
"65","Fontbona","Iris","23100","1","Metals & Mining","1/1/1943","F","567","20",""
"66","Hartono","Michael","23100","0","Manufacturing","10/2/1939","M","318","39",""
"67","Ratcliffe","James","22900","0","Manufacturing","1/1/1953","M","365","82",""
"68","Poonawalla","Cyrus","22600","0","Healthcare","5/11/1941","M","519","38",""
"69","Son","Masayoshi","22400","0","Telecom","8/11/1957","M","645","43",""
"70","Lisin","Vladimir","22100","0","Metals & Mining","5/7/1956","M","427","66",""
"71","Besnier","Emmanuel","22000","0","Food & Beverage","9/18/1970","M","341","30",""
"72","Johnson","Abigail","21600","0","Finance & Investments","12/19/1961","F","414","83",""
"73","Mikhelson","Leonid","21600","1","Energy","8/11/1955","M","427","66",""
"74","Walton","Lukas","21200","0","Fashion & Retail","9/19/1986","M","117","83",""
"75","Wang","Wei","21200","0","Service","10/1/1970","M","589","21",""
"76","Huang","Jensen","21100","0","Technology","2/17/1963","M","367","83",""
"77","Lauder","Leonard","21000","0","Fashion & Retail","3/19/1933","M","451","83",""
"78","Takizaki","Takemitsu","21000","0","Manufacturing","6/10/1945","M","477","43",""
"79","Mordashov","Alexey","20900","1","Metals & Mining","9/26/1965","M","427","66",""
"80","Alekperov","Vagit","20500","0","Energy","9/1/1950","M","427","66",""
"81","Frist","Thomas","20200","1","Healthcare","8/12/1938","M","443","83",""
"82","Forrest","Andrew","19600","0","Metals & Mining","11/18/1961","M","495","5",""
"83","Dalio","Ray","19100","0","Finance & Investments","8/8/1949","M","221","83",""
"84","Li","Eric","19000","0","Automotive","6/1/1963","M","230","21",""
"85","Wang","Wenyin","19000","0","Metals & Mining","3/1/1968","M","589","21",""
"86","Ofer","Eyal","18900","0","Diversified","6/2/1950","M","423","41",""
"87","Qin","Yinglin","18900","0","Food & Beverage","4/17/1965","M","441","21",""
"88","Wang","Chuanfu","18700","0","Automotive","2/15/1966","M","589","21",""
"89","Hamm","Harold","18500","1","Energy","12/11/1945","M","472","83",""
"90","Tepper","David","18500","0","Finance & Investments","9/11/1957","M","483","83",""
"91","Timchenko","Gennady","18500","0","Energy","11/9/1952","M","427","66",""
"92","Gilbert","Daniel","18000","0","Finance & Investments","1/17/1962","M","737","83",""
"93","Mittal","Lakshmi","17700","0","Metals & Mining","6/15/1950","M","365","38",""
"94","Cohen","Steve","17500","0","Finance & Investments","6/11/1956","M","221","83",""
"95","Icahn","Carl","17500","0","Finance & Investments","2/16/1936","M","266","83",""
"96","Jindal","Savitri","17500","1","Metals & Mining","3/20/1950","F","249","38",""
"97","Bren","Donald","17400","0","Real Estate","5/11/1932","M","455","83",""
"98","Menard","John","17400","0","Fashion & Retail","1/22/1940","M","168","83","Jr."
"99","Murdoch","Rupert","17100","1","Media & Entertainment","3/11/1931","M","451","83",""
"100","Safra","Vicky","16700","1","Finance & Investments","1/1/1953","F","133","14",""
"101","Albrecht","Theo","16500","1","Fashion & Retail","1/1/1951","M","430","32",""
"102","Kellnerova","Renata","16500","1","Finance & Investments","7/4/1967","F","514","24",""
"103","Li","Xiting","16300","0","Healthcare","1/1/1951","M","589","67",""
"104","Persson","Stefan","16200","0","Fashion & Retail","10/4/1947","M","612","73",""
"105","Schmidt","Eric","16200","0","Technology","4/27/1955","M","23","83",""
"106","Platt","Michael","16000","0","Finance & Investments","3/18/1968","M","203","82",""
"107","Pang","Kang","15900","0","Food & Beverage","1/19/1956","M","191","21",""
"108","Albrecht","Karl","15800","1","Fashion & Retail","1/1/1958","M","657","32","Jr."
"109","Lemann","Jorge Paulo","15800","1","Food & Beverage","8/26/1939","M","734","14",""
"110","Woo","Peter","15800","0","Real Estate","9/5/1946","M","253","35",""
"111","Shanghvi","Dilip","15600","0","Healthcare","10/1/1955","M","431","38",""
"112","Pera","Robert","15500","0","Technology","3/10/1978","M","558","83",""
"113","Damani","Radhakishan","15300","0","Fashion & Retail","1/1/1955","M","431","38",""
"114","Huang","Shilin","15200","0","Automotive","1/1/1967","M","460","21",""
"115","Chearavanont","Dhanin","14900","0","Diversified","4/19/1939","M","35","77",""
"116","Green","David","14900","1","Fashion & Retail","11/13/1941","M","472","83",""
"117","Sirivadhanabhakdi","Charoen","14800","0","Food & Beverage","5/2/1944","M","35","77",""
"118","de Carvalho-Heineken","Charlene","14700","1","Food & Beverage","6/30/1954","F","365","55",""
"119","Xu","Hang","14600","0","Healthcare","5/22/1962","M","589","35",""
"120","Wei","Jianjun","14500","1","Automotive","3/1/1964","M","36","21",""
"121","Usmanov","Alisher","14400","0","Metals & Mining","9/9/1953","M","633","66",""
"122","Goh","Cheng Liang","14300","0","Manufacturing","6/27/1927","M","593","67",""
"123","Birla","Kumar","14200","0","Diversified","6/14/1967","M","431","38",""
"124","Dangote","Aliko","14200","0","Manufacturing","4/10/1957","M","327","57",""
"125","Kwong","Siu-hing","14100","0","Real Estate","12/2/1929","F","253","35",""
"126","Ofer","Idan","14000","0","Diversified","10/2/1955","M","365","41",""
"127","Chen","Bang","13900","0","Healthcare","9/1/1965","M","105","21",""
"128","Lui","Che Woo","13900","0","Gambling & Casinos","4/1/1929","M","253","35",""
"129","Fredriksen","John","13700","0","Logistics","2/1/1945","M","365","23",""
"130","Hendricks","Diane","13700","0","Construction & Engineering","3/2/1947","F","8","83",""
"131","Koum","Jan","13700","0","Technology","2/24/1976","M","23","83",""
"132","Jones","Jerry","13300","0","Sports","10/13/1942","M","140","83",""
"133","Kaiser","George","13300","0","Energy","7/29/1942","M","653","83",""
"134","Lau","Joseph","13300","0","Real Estate","7/21/1951","M","253","35",""
"135","Lu","Xiangyang","13200","0","Automotive","12/28/1962","M","225","21",""
"136","Triguboff","Harry","13100","0","Real Estate","3/3/1933","M","623","5",""
"137","Kotak","Uday","12900","0","Finance & Investments","3/15/1959","M","431","38",""
"138","Kroenke","Stanley","12900","0","Sports","7/29/1947","M","174","83",""
"139","Fridman","Mikhail","12600","0","Energy","4/21/1964","M","365","66",""
"140","Ratanavadi","Sarath","12300","0","Energy","7/12/1965","M","35","77",""
"141","Dang","Yanbao","12200","0","Metals & Mining","2/1/1973","M","714","21",""
"142","Jiang","Rensheng","12200","1","Healthcare","10/8/1953","M","119","21",""
"143","Khan","Shahid","12100","0","Automotive","7/18/1950","M","442","83",""
"144","Powell Jobs","Laurene","12000","1","Technology","11/6/1963","F","485","83",""
"145","Kuok","Robert","11800","0","Diversified","10/6/1923","M","253","50",""
"146","Ross","Stephen","11600","0","Real Estate","5/10/1940","M","451","83",""
"147","Durov","Pavel","11500","0","Technology","10/10/1984","M","158","81",""
"148","Struengmann","Andreas","11500","1","Healthcare","2/16/1950","M","636","32",""
"149","Struengmann","Thomas","11500","1","Healthcare","2/16/1950","M","636","32",""
"150","Liu","Hanyuan","11400","0","Food & Beverage","1/1/1964","M","112","21",""
"151","Rubin","Michael","11400","0","Fashion & Retail","7/21/1972","M","86","83",""
"152","Englander","Israel","11300","0","Finance & Investments","9/30/1948","M","451","83",""
"153","Kantor","Viatcheslav","11300","0","Manufacturing","9/8/1953","M","242","66",""
"154","Pratt","Anthony","11300","0","Manufacturing","4/11/1960","M","402","5",""
"155","Prokhorov","Mikhail","11300","0","Finance & Investments","5/3/1965","M","194","66",""
"156","Armani","Giorgio","11100","0","Fashion & Retail","7/11/1934","M","412","42",""
"157","Rupert","Johann","11100","1","Fashion & Retail","6/1/1950","M","96","69",""
"158","Gong","Hongjia","11000","1","Finance & Investments","1/1/1965","M","253","35",""
"159","Zhang","Zhidong","11000","0","Technology","1/1/1972","M","589","21",""
"160","Anschutz","Philip","10900","0","Finance & Investments","12/28/1939","M","151","83",""
"161","Love","Judy","10900","1","Fashion & Retail","6/17/1937","F","472","83",""
"162","Salinas Pliego","Ricardo","10900","1","Fashion & Retail","10/19/1955","M","408","51",""
"163","Newhouse","Donald","10700","0","Media & Entertainment","8/5/1929","M","451","83",""
"164","Kraft","Robert","10600","0","Sports","6/5/1941","M","79","83",""
"165","Telles","Marcel Herrmann","10600","0","Food & Beverage","1/1/1950","M","571","14",""
"166","Kerimov","Suleiman","10500","1","Finance & Investments","3/12/1966","M","427","66",""
"167","Xu","Sky","10500","0","Fashion & Retail","1/1/1984","M","225","21",""
"168","Zhao","Changpeng","10500","0","Finance & Investments","9/10/1977","M","158","18",""
"169","Beal","Andrew","10300","0","Finance & Investments","11/29/1952","M","140","83",""
"170","Cannon-Brookes","Mike","10200","0","Technology","11/17/1979","M","623","5",""
"171","Cook","Carl","10200","0","Healthcare","8/19/1962","M","64","83",""
"172","Duffield","David","10200","0","Technology","9/21/1940","M","265","83",""
"173","Hildebrand","Jeffery","10200","0","Energy","3/5/1959","M","255","83",""
"174","Rashnikov","Viktor","10200","0","Manufacturing","10/13/1948","M","383","66",""
"175","Saverin","Eduardo","10200","0","Technology","3/19/1982","M","593","14",""
"176","Schaeffler","Georg","10200","0","Automotive","10/19/1964","M","244","32",""
"177","Walton","Christy","10200","0","Fashion & Retail","2/8/1949","F","275","83",""
"178","Farquhar","Scott","10100","0","Technology","12/17/1979","M","623","5",""
"179","Quek","Leng Chan","10100","0","Diversified","8/12/1941","M","317","50",""
"180","Wu","Yajun","10100","0","Real Estate","1/1/1964","F","44","21",""
"181","Stephens","Autry","10000","0","Energy","3/8/1938","M","411","83",""
"182","Liu","Yongxing","9900","0","Service","6/1/1948","M","584","21",""
"183","Adani","Vinod","9800","0","Diversified","1/10/1949","M","158","23",""
"184","Puech","Nicolas","9800","0","Fashion & Retail","1/29/1943","M","397","30",""
"185","Saade","Jacques","9800","0","Logistics","8/10/1971","M","396","30","Jr."
"186","Saade","Rodolphe","9800","0","Logistics","3/3/1970","M","396","30",""
"187","Saade Zeenny","Tanya","9800","0","Logistics","2/1/1968","F","396","30",""
"188","Schorling","Melker","9800","1","Finance & Investments","5/15/1947","M","612","73",""
"189","Guriev","Andrei","9700","1","Manufacturing","3/24/1960","M","427","66",""
"190","Kim","Michael","9700","0","Finance & Investments","10/1/1963","M","582","83",""
"191","Lei","Jun","9700","0","Technology","12/16/1969","M","44","21",""
"192","Loh","Friedhelm","9700","0","Manufacturing","8/15/1946","M","227","32",""
"193","Sun","Piaoyang","9700","0","Healthcare","9/1/1958","M","348","21",""
"194","Cohen","Rick","9600","1","Technology","7/25/1952","M","299","83",""
"195","Jin","Baofang","9600","0","Energy","9/1/1952","M","706","21",""
"196","Luo","Liguo","9600","1","Manufacturing","3/1/1956","M","459","21",""
"197","Mars","Marijke","9600","0","Food & Beverage","7/28/1964","F","369","83",""
"198","Mars","Pamela","9600","0","Food & Beverage","8/1/1960","F","11","83",""
"199","Mars","Valerie","9600","0","Food & Beverage","1/26/1959","F","451","83",""
"200","Mars","Victoria","9600","0","Food & Beverage","12/15/1956","F","498","83",""
"201","Bollore","Vincent","9500","1","Finance & Investments","4/1/1952","M","492","30",""
"202","Pattison","Jim","9500","0","Diversified","10/1/1928","M","663","18",""
"203","Bertarelli","Ernesto","9400","0","Healthcare","9/22/1965","M","224","74",""
"204","Wang","Xing","9400","0","Technology","2/18/1979","M","44","21",""
"205","Chesky","Brian","9300","0","Technology","8/29/1981","M","557","83",""
"206","Dyson","James","9300","0","Manufacturing","5/2/1947","M","208","82",""
"207","Abramovich","Roman","9200","1","Diversified","10/24/1966","M","427","66",""
"208","Ax:son Johnson","Antonia","9200","1","Diversified","9/6/1943","F","612","73",""
"209","Kretinsky","Daniel","9200","0","Energy","7/9/1975","M","514","24",""
"210","Malone","John","9200","0","Media & Entertainment","3/7/1941","M","175","83",""
"211","Premji","Azim","9200","0","Technology","7/24/1945","M","34","38",""
"212","Schwab","Charles","9200","0","Finance & Investments","7/29/1937","M","695","83",""
"213","Smidt","Eric","9200","0","Fashion & Retail","1/1/1960","M","54","83",""
"214","Cheriton","David","9000","0","Technology","3/29/1951","M","485","18",""
"215","Glasenberg","Ivan","9000","0","Metals & Mining","1/7/1957","M","543","74",""
"216","Otto","Alexander","9000","0","Real Estate","7/7/1967","M","228","32",""
"217","von Mandl","Anthony","9000","0","Food & Beverage","3/10/1950","M","663","18",""
"218","Wang","Liping","9000","1","Manufacturing","2/24/1966","M","107","21",""
"219","Rausing","Finn","8900","0","Food & Beverage","1/1/1955","M","365","73",""
"220","Rausing","Jorn","8900","0","Food & Beverage","1/1/1960","M","621","73",""
"221","Rausing","Kirsten","8900","0","Food & Beverage","6/6/1952","F","454","73",""
"222","Bakalchuk","Tatyana","8800","0","Fashion & Retail","10/16/1975","F","428","66",""
"223","Doerr","John","8800","0","Technology","6/29/1951","M","695","83",""
"224","Liu","Richard","8800","0","Technology","3/10/1974","M","44","21",""
"225","Moskovitz","Dustin","8800","0","Technology","5/22/1984","M","557","83",""
"226","Omidyar","Pierre","8800","0","Technology","6/21/1967","M","254","83",""
"227","Pei","Zhenhua","8800","0","Energy","1/1/1959","M","460","21",""
"228","Perrodo","Carrie","8800","1","Energy","1/1/1951","F","365","30",""
"229","Chen","Jianhua","8700","0","Manufacturing","1/1/1971","M","699","21",""
"230","Otto","Michael","8700","0","Fashion & Retail","4/12/1943","M","228","32",""
"231","Black","Leon","8600","0","Finance & Investments","7/31/1951","M","451","83",""
"232","Hart","Graeme","8600","0","Finance & Investments","6/6/1955","M","25","56",""
"233","Jaipuria","Ravi","8600","0","Food & Beverage","11/28/1954","M","149","38",""
"234","Plattner","Hasso","8600","1","Technology","1/21/1944","M","236","32",""
"235","Sicupira","Carlos Alberto","8600","1","Food & Beverage","1/1/1948","M","601","14",""
"236","Villar","Manuel","8600","0","Real Estate","12/13/1949","M","391","61",""
"237","von Bechtolsheim","Andreas","8600","1","Technology","9/30/1955","M","485","32",""
"238","Coleman","Chase","8500","0","Finance & Investments","6/21/1975","M","451","83","III."
"239","Kroenke","Ann Walton","8500","0","Fashion & Retail","12/18/1948","F","174","83",""
"240","Li","Zhenguo","8500","1","Manufacturing","1/1/1968","M","702","21",""
"241","Kennedy","Jim","8400","0","Media & Entertainment","11/29/1947","M","24","83",""
"242","Oppenheimer","Nicky","8400","1","Metals & Mining","6/8/1945","M","287","69",""
"243","Parry-Okeden","Blair","8400","0","Media & Entertainment","5/21/1950","F","450","83",""
"244","Zheng","Shuliang","8400","1","Metals & Mining","1/1/1946","F","59","21",""
"245","Morris","John","8300","0","Fashion & Retail","3/19/1948","M","599","83",""
"246","Pessina","Stefano","8300","0","Fashion & Retail","6/4/1941","M","423","52",""
"247","von Finck","Francine","8300","1","Finance & Investments","1/1/1956","F","643","32",""
"248","Choi","Francis","8200","0","Real Estate","9/18/1947","M","253","35",""
"249","Khan","German","8200","0","Energy","10/24/1961","M","427","66",""
"250","Rabiu","Abdulsamad","8200","0","Diversified","8/4/1960","M","327","57",""
"251","Roberts","George","8200","0","Finance & Investments","9/14/1943","M","23","83",""
"252","Singh","Kushal Pal","8200","0","Real Estate","8/15/1931","M","149","38",""
"253","Wang","Jianlin","8200","0","Real Estate","10/1/1954","M","44","21",""
"254","Yang","Huiyan","8200","1","Real Estate","9/27/1981","F","191","21",""
"255","Dassault","Laurent","8100","0","Diversified","7/7/1953","M","492","30",""
"256","Dassault","Thierry","8100","0","Diversified","3/26/1957","M","492","30",""
"257","Fertitta","Tilman","8100","0","Food & Beverage","6/25/1957","M","255","83",""
"258","Habert-Dassault","Marie-Helene","8100","0","Diversified","4/4/1965","F","492","30",""
"259","Komarek","Karel","8100","0","Gambling & Casinos","3/15/1969","M","666","24",""
"260","Blecharczyk","Nathan","8000","0","Technology","6/11/1983","M","557","83",""
"261","Fedun","Leonid","8000","0","Energy","4/5/1956","M","427","66",""
"262","Marcus","Bernard","8000","0","Fashion & Retail","5/12/1929","M","24","83",""
"263","Ryan","Patrick","8000","0","Finance & Investments","5/15/1937","M","693","83",""
"264","Smith","Robert F.","8000","0","Finance & Investments","12/1/1962","M","28","83",""
"265","Tykac","Pavel","8000","0","Metals & Mining","5/15/1964","M","514","24",""
"266","Wittouck","Eric","8000","0","Finance & Investments","10/1/1946","M","657","11",""
"267","Bravo","Orlando","7900","0","Finance & Investments","9/23/1970","M","410","83",""
"268","Ding","Shizhong","7900","0","Fashion & Retail","12/1/1970","M","522","21",""
"269","Laurie","Nancy Walton","7900","0","Fashion & Retail","5/15/1951","F","239","83",""
"270","Lee","Jay Y.","7900","0","Technology","6/23/1968","M","582","70",""
"271","Musallam","Ramzi","7900","0","Finance & Investments","9/17/1968","M","451","83",""
"272","Shaw","David","7900","0","Finance & Investments","3/29/1951","M","451","83",""
"273","Skoch","Andrei","7900","1","Metals & Mining","1/30/1966","M","427","66",""
"274","Stumpf","Georg","7900","0","Diversified","9/14/1972","M","669","6",""
"275","Commisso","Rocco","7800","0","Telecom","11/25/1949","M","545","83",""
"276","Li","Shuirong","7800","1","Manufacturing","7/1/1956","M","230","21",""
"277","Lin","Shu-hong","7800","0","Manufacturing","8/1/1928","M","627","75",""
"278","Qi","Shi","7800","1","Technology","1/3/1970","M","584","21",""
"279","Yao","Liangsong","7800","0","Manufacturing","8/1/1964","M","225","21",""
"280","Zhang","Congyuan","7800","0","Fashion & Retail","1/1/1948","M","631","75",""
"281","Besnier","Jean-Michel","7700","0","Food & Beverage","6/5/1967","M","341","30",""
"282","Besnier Beauvalot","Marie","7700","0","Food & Beverage","7/30/1980","F","341","30",""
"283","Geffen","David","7700","0","Media & Entertainment","2/21/1943","M","54","83",""
"284","Li","Robin","7700","0","Technology","11/17/1968","M","44","21",""
"285","Liu","Yonghao","7700","1","Service","9/1/1951","M","112","21",""
"286","Samueli","Henry","7700","0","Technology","9/20/1954","M","455","83",""
"287","Schmieding","Reinhold","7700","0","Healthcare","1/3/1955","M","442","83",""
"288","Tollefsen","Ivar","7700","0","Real Estate","6/23/1961","M","478","58",""
"289","Cao","Renxian","7600","0","Energy","7/24/1968","M","235","21",""
"290","Chudgar","Hasmukh","7600","1","Healthcare","9/19/1933","M","9","38",""
"291","Currie","Andrew","7600","0","Manufacturing","12/4/1955","M","365","82",""
"292","Gebbia","Joe","7600","0","Technology","8/21/1981","M","28","83",""
"293","Ng","Philip","7600","0","Real Estate","1/1/1959","M","593","67",""
"294","Reece","John","7600","0","Manufacturing","3/7/1957","M","365","82",""
"295","Stern","Leonard","7600","0","Real Estate","3/28/1938","M","451","83",""
"296","Tsai","Joseph","7600","0","Technology","1/19/1964","M","253","18",""
"297","Zhong","Huijuan","7600","0","Healthcare","1/1/1961","F","584","21",""
"298","Blank","Arthur","7500","0","Sports","9/27/1942","M","24","83",""
"299","Butt","Charles","7500","0","Fashion & Retail","2/3/1938","M","554","83",""
"300","Ding","Shijia","7500","0","Fashion & Retail","1/1/1964","M","522","21",""
"301","Jones","Paul Tudor","7500","0","Finance & Investments","9/28/1954","M","483","83","II."
"302","Kravis","Henry","7500","0","Finance & Investments","1/6/1944","M","451","83",""
"303","Zhang","Yong","7500","0","Food & Beverage","7/1/1970","M","593","67",""
"304","Goodnight","James","7400","0","Technology","1/6/1943","M","99","83",""
"305","Lohia","Sri Prakash","7400","0","Manufacturing","8/11/1952","M","365","39",""
"306","Ma","Jianrong","7400","0","Fashion & Retail","1/1/1964","M","459","21",""
"307","Ng","Robert","7400","0","Real Estate","1/1/1952","M","593","67",""
"308","Rales","Steven","7400","0","Manufacturing","3/31/1951","M","563","83",""
"309","Sawiris","Nassef","7400","0","Construction & Engineering","1/19/1961","M","93","26",""
"310","Stine","Harry","7400","0","Food & Beverage","11/30/1941","M","7","83",""
"311","Bangur","Benu Gopal","7300","0","Manufacturing","6/1/1931","M","312","38",""
"312","Makhmudov","Iskander","7300","0","Metals & Mining","12/5/1963","M","427","66",""
"313","Povlsen","Anders Holch","7300","0","Fashion & Retail","11/4/1972","M","2","25",""
"314","Razon","Enrique","7300","0","Logistics","3/3/1960","M","391","61","Jr."
"315","Wang","Laichun","7300","0","Technology","6/3/1967","F","589","35",""
"316","Dantchik","Arthur","7200","0","Finance & Investments","11/25/1957","M","205","83",""
"317","Gou","Terry","7200","0","Technology","10/18/1950","M","627","75",""
"318","Greene","Jeff","7200","0","Real Estate","12/10/1954","M","483","83",""
"319","Hankey","Don","7200","0","Finance & Investments","6/13/1943","M","386","83",""
"320","Kinder","Richard","7200","0","Energy","10/19/1944","M","255","83",""
"321","Pousaz","Guillaume","7200","0","Finance & Investments","8/15/1981","M","158","74",""
"322","Takahara","Takahisa","7200","0","Fashion & Retail","7/12/1961","M","645","43",""
"323","Zong","Qinghou","7200","0","Food & Beverage","10/1/1945","M","230","21",""
"324","Faulkner","Judy","7100","0","Technology","8/1/1943","F","381","83",""
"325","Graf","Johann","7100","0","Gambling & Casinos","1/3/1947","M","669","6",""
"326","Gustavson","Tamara","7100","0","Service","11/16/1961","F","738","83",""
"327","Liang","Wengen","7100","0","Manufacturing","12/14/1956","M","105","21",""
"328","Paulsen","Frederik","7100","0","Healthcare","10/30/1950","M","340","73",""
"329","Wee","Cho Yaw","7100","0","Finance & Investments","1/10/1929","M","593","67",""
"330","Zhang","Hejun","7100","0","Manufacturing","1/1/1952","M","459","21",""
"331","Benioff","Marc","7000","0","Technology","9/25/1964","M","557","83",""
"332","Bukhman","Dmitri","7000","0","Media & Entertainment","5/27/1985","M","365","41",""
"333","Bukhman","Igor","7000","0","Media & Entertainment","3/29/1982","M","365","41",""
"334","Dangermond","Jack","7000","0","Technology","7/23/1945","M","529","83",""
"335","Dani","Ashwin","7000","1","Manufacturing","10/24/1942","M","431","38",""
"336","Lauren","Ralph","7000","0","Fashion & Retail","10/14/1939","M","451","83",""
"337","Law","Kar Po","7000","0","Real Estate","8/2/1948","M","253","35",""
"338","Mistry","Rohiqa Cyrus","7000","0","Diversified","6/6/1967","F","431","38",""
"339","Mistry","Shapoor","7000","0","Diversified","9/6/1964","M","431","40",""
"340","Reyes","J. Christopher","7000","0","Food & Beverage","12/29/1953","M","251","83",""
"341","Reyes","Jude","7000","0","Food & Beverage","9/16/1955","M","483","83",""
"342","Vultaggio","Don","7000","1","Food & Beverage","2/26/1952","M","506","83",""
"343","Bailleres Gual","Alejandro","6900","1","Diversified","1/1/1961","M","657","51",""
"344","Broad","Edythe","6900","1","Diversified","1/1/1936","F","369","83",""
"345","Keinath","Pauline MacMillan","6900","0","Food & Beverage","1/1/1934","F","603","83",""
"346","Laffont","Philippe","6900","0","Finance & Investments","9/16/1967","M","451","83",""
"347","Liu","Jincheng","6900","1","Technology","9/22/1964","M","258","21",""
"348","Olenicoff","Igor","6900","0","Real Estate","9/20/1942","M","352","83",""
"349","Ortega Mera","Sandra","6900","0","Fashion & Retail","7/9/1968","F","325","71",""
